cast_id,source_file,platform,cycle,obs_time,lat,lon,max_depth_m,storm_name,storm_season
aoml/1902364/profiles/R1902364_018.nc,aoml/1902364/profiles/R1902364_018.nc,1902364,18.0,2024-07-03T01:40:12Z,22.92775,-62.83898,5573.2998046875,BERYL,2024
aoml/1902364/profiles/R1902364_019D.nc,aoml/1902364/profiles/R1902364_019D.nc,1902364,19.0,2024-07-03T01:54:23Z,22.92884,-62.84108,5971.2998046875,BERYL,2024
aoml/1902365/profiles/R1902365_018.nc,aoml/1902365/profiles/R1902365_018.nc,1902365,18.0,2024-07-02T08:08:19Z,21.9291,-66.01024,5437.10009765625,BERYL,2024
aoml/1902365/profiles/R1902365_019D.nc,aoml/1902365/profiles/R1902365_019D.nc,1902365,19.0,2024-07-02T08:31:55Z,21.92693,-66.01197,5782.2998046875,BERYL,2024
aoml/1902366/profiles/R1902366_018.nc,aoml/1902366/profiles/R1902366_018.nc,1902366,18.0,2024-07-02T16:55:43Z,22.7186,-67.22281,5315.7998046875,BERYL,2024
aoml/1902366/profiles/R1902366_019D.nc,aoml/1902366/profiles/R1902366_019D.nc,1902366,19.0,2024-07-02T17:15:08Z,22.72037,-67.22444,5902.5,BERYL,2024
aoml/1902375/profiles/R1902375_097.nc,aoml/1902375/profiles/R1902375_097.nc,1902375,97.0,2024-06-30T04:04:51Z,26.28495,-62.21141,2015.280029296875,BERYL,2024
aoml/1902375/profiles/R1902375_098.nc,aoml/1902375/profiles/R1902375_098.nc,1902375,98.0,2024-07-10T01:24:11Z,26.35259,-62.81871,2017.0799560546875,BERYL,2024
aoml/1902380/profiles/D1902380_091.nc,aoml/1902380/profiles/D1902380_091.nc,1902380,91.0,2024-07-05T15:16:58Z,18.1477,-43.1003,2001.8800048828125,BERYL,2024
aoml/1902380/profiles/D1902380_091.nc,aoml/1902380/profiles/D1902380_091.nc,1902380,91.0,2024-07-05T15:16:58Z,18.1477,-43.1003,2001.8800048828125,BERYL,2024
aoml/1902383/profiles/R1902383_090.nc,aoml/1902383/profiles/R1902383_090.nc,1902383,90.0,2024-06-30T13:37:41Z,24.33,-50.8641,1998.989990234375,BERYL,2024
aoml/1902383/profiles/R1902383_090.nc,aoml/1902383/profiles/R1902383_090.nc,1902383,90.0,2024-06-30T13:37:41Z,24.33,-50.8641,1998.989990234375,BERYL,2024
aoml/1902383/profiles/R1902383_091.nc,aoml/1902383/profiles/R1902383_091.nc,1902383,91.0,2024-07-10T14:17:16Z,24.322,-50.9222,1949.0198974609375,BERYL,2024
aoml/1902383/profiles/R1902383_091.nc,aoml/1902383/profiles/R1902383_091.nc,1902383,91.0,2024-07-10T14:17:16Z,24.322,-50.9222,1949.0198974609375,BERYL,2024
aoml/1902384/profiles/R1902384_091.nc,aoml/1902384/profiles/R1902384_091.nc,1902384,91.0,2024-07-07T10:47:42Z,20.1537,-42.3513,1949.1500244140625,BERYL,2024
aoml/1902384/profiles/R1902384_091.nc,aoml/1902384/profiles/R1902384_091.nc,1902384,91.0,2024-07-07T10:47:42Z,20.1537,-42.3513,1949.1500244140625,BERYL,2024
