cast_id,platform,obs_time,obs_date,lat,lon,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2
aoml/4903240/profiles/D4903240_391.nc,4903240,2024-09-28T05:36:26Z,20240928,22.2059,-96.03742,30.858999252319336,44.449590093974905,74.86781507932093,1983.571074345493,22.221038818359375,-96.0,4.204,30.59078598022461,60.78270227240899,86.17481911491768,2500.0,-11.307004035596748
aoml/4903464/profiles/D4903464_143.nc,4903464,2024-09-28T06:48:09Z,20240928,28.03658,-89.01035,28.922000885009766,39.616779225670676,41.026846401924594,1347.6589577470763,28.0123348236084,-89.0400390625,3.97,29.161161422729492,49.946182268029645,51.97888076238202,1250.0,-10.952034360457425
aoml/4903469/profiles/D4903469_144.nc,4903469,2024-09-28T14:52:23Z,20240928,23.42424,-81.59,30.000999450683594,139.71152014402716,161.8467042776409,1428.9664153186882,23.40089988708496,-81.5999755859375,2.788,29.66091537475586,95.84805146319749,105.9500536443342,1250.0,55.89665063330669
aoml/4903472/profiles/R4903472_143.nc,4903472,2024-09-28T20:16:43Z,20240928,25.66655,-88.93734,29.562999725341797,40.904902403799106,40.79317907448633,1976.646178123489,25.656879425048828,-88.9599609375,2.509,29.67229652404785,63.99990642896789,68.73773029820212,3000.0,-27.94455122371579
aoml/4903545/profiles/D4903545_096.nc,4903545,2024-09-28T15:12:19Z,20240928,27.79055,-87.47499,28.780000686645508,43.26311056655193,41.69916155323413,1990.9769602896163,27.80024528503418,-87.43994140625,3.612,28.814226150512695,49.8577408030822,46.004926094395195,2500.0,-4.305764541161068
aoml/4903552/profiles/D4903552_096.nc,4903552,2024-09-28T18:56:27Z,20240928,25.56453,-85.57224,30.05299949645996,99.9475487902629,115.02976559501323,1988.7459155442375,25.584745407104492,-85.5999755859375,3.577,29.916324615478516,74.33210364760188,86.49471632990794,3000.0,28.535049265105286
aoml/4903557/profiles/D4903557_096.nc,4903557,2024-09-28T16:40:16Z,20240928,25.93334,-93.7098,29.628000259399414,51.43555133773669,59.9820828531828,1988.8898960686236,25.944978713989258,-93.679931640625,3.255,29.59825897216797,74.0950306204627,80.28001144095539,3000.0,-20.29792858777259
aoml/4903248/profiles/D4903248_375.nc,4903248,2024-09-29T23:42:39Z,20240929,25.83638,-94.33678,29.16200065612793,55.992737719598644,51.6468170724847,1990.360303467823,25.801015853881836,-94.320068359375,4.273,29.20574951171875,89.96197312581835,68.11514684030467,3000.0,-16.468329767819974
aoml/4903356/profiles/D4903356_255.nc,4903356,2024-09-29T21:21:13Z,20240929,27.96041,-89.24142,29.17099952697754,44.64875708229393,41.80973306164778,1339.1000833632634,27.94168472290039,-89.280029296875,4.326,28.704254150390625,42.25643741311975,35.8641889740028,1250.0,5.945544087644983
aoml/4903546/profiles/D4903546_096.nc,4903546,2024-09-29T17:52:17Z,20240929,21.59036,-96.38342,30.65999984741211,45.38647975931255,72.40128570604665,1870.56939029323,21.627328872680664,-96.4000244140625,4.455,30.77952003479004,51.111218980794995,75.97701734375575,1500.0,-3.5757316377090973
