cast_id,platform,obs_time,obs_date,lat,lon,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2,raw_rtofs_pred_tchp_kj_cm2,raw_rtofs_pred_delta_kj_cm2,raw_rtofs_abs_error_kj_cm2,ridge_delta_pred_tchp_kj_cm2,ridge_delta_pred_delta_kj_cm2,ridge_delta_abs_error_kj_cm2,gbr_delta_pred_tchp_kj_cm2,gbr_delta_pred_delta_kj_cm2,gbr_delta_abs_error_kj_cm2,rf_delta_pred_tchp_kj_cm2,rf_delta_pred_delta_kj_cm2,rf_delta_abs_error_kj_cm2
aoml/4903248/profiles/D4903248_375.nc,4903248,2024-09-29T23:42:39Z,20240929,25.83638,-94.33678,29.16200065612793,56.36615656868906,54.55559865227075,2013.0,25.80101585388184,-94.320068359375,4.273,29.20574951171875,89.96197312581835,71.47603944733167,3000.0,-16.92044079506092,71.47603944733167,0.0,16.92044079506092,100.13667644421437,28.6606369968827,45.58107779194362,49.16264283904764,-22.31339660828403,5.392955813223111,64.80365166628079,-6.672387781050887,10.248053014010033
aoml/4903356/profiles/D4903356_255.nc,4903356,2024-09-29T21:21:13Z,20240929,27.96041,-89.24142,29.17099952697754,44.95238059195961,44.16104664551766,1352.43994140625,27.94168472290039,-89.280029296875,4.326,28.704254150390625,42.25643741311975,37.61115490709723,1250.0,6.549891738420428,37.61115490709723,0.0,6.549891738420428,41.45182424909254,3.8406693419953086,2.709222396425119,39.06525040617565,1.45409549907842,5.0957962393420075,33.72852037936892,-3.8826345277283068,10.432526266148734
aoml/4903546/profiles/D4903546_096.nc,4903546,2024-09-29T17:52:17Z,20240929,21.59036,-96.38342,30.65999984741211,45.674823147819055,76.49002425587125,1890.760009765625,21.627328872680664,-96.4000244140625,4.455,30.77952003479004,51.111218980795,79.75914026138081,1500.0,-3.2691160055095594,79.75914026138081,0.0,3.2691160055095594,70.36215585676963,-9.396984404611175,6.127868399101615,76.81621571380343,-2.942924547577377,0.3261914579321825,85.75195493614133,5.992814674760524,9.261930680270083
aoml/4903548/profiles/D4903548_096.nc,4903548,2024-09-29T16:34:19Z,20240929,27.15116,-89.70664,28.992000579833984,48.545916509826206,55.01622559955487,2013.43994140625,27.16149139404297,-89.679931640625,2.881,29.472036361694336,63.13818371763301,69.44140738205179,2000.0,-14.42518178249692,69.44140738205179,0.0,14.42518178249692,87.37782153306205,17.936414151010254,32.361595933507175,64.41976833084358,-5.021639051208211,9.40354273128871,62.742163014041516,-6.699244368010277,7.725937414486644
aoml/4903550/profiles/D4903550_096.nc,4903550,2024-09-29T05:16:19Z,20240929,25.26286,-86.10289,30.15699958801269,139.42624682193244,178.99336052903553,2011.3199462890625,25.295774459838867,-86.0799560546875,4.326,30.44003677368164,108.67613260666296,139.07826310625995,3000.0,39.91509742277557,139.07826310625995,0.0,39.915097422775574,144.05449634541642,4.976233239156471,34.9388641836191,154.2305274010813,15.15226429482135,24.762833127954224,158.72375089811436,19.645487791854407,20.269609630921167
aoml/4903551/profiles/D4903551_096.nc,4903551,2024-09-29T14:07:49Z,20240929,25.74653,-89.71817,29.964000701904297,97.06912432876923,134.62049820851726,2011.43994140625,25.72896957397461,-89.679931640625,4.299,29.88621711730957,73.01371420515142,79.82827598761706,3000.0,54.7922222209002,79.82827598761706,0.0,54.7922222209002,75.42542223020409,-4.40285375741297,59.19507597831317,73.20787364243068,-6.620402345186378,61.41262456608658,72.82890237921124,-6.9993736084058185,61.79159582930602
aoml/4903556/profiles/D4903556_096.nc,4903556,2024-09-29T01:22:48Z,20240929,27.73711,-85.96959,29.14800071716309,54.24243947074703,61.3348389128669,2011.52001953125,27.729455947875977,-86.0,3.112,29.57616233825684,64.68799140803408,72.27641252420611,3000.0,-10.941573611339209,72.27641252420611,0.0,10.941573611339209,87.70783527777954,15.431422753573429,26.372996364912638,59.36390368331459,-12.912508840891519,1.9709352295523104,69.32659861332856,-2.949813910877552,7.991759700461657
aoml/4903254/profiles/D4903254_379.nc,4903254,2024-10-04T23:12:43Z,20241004,28.75684,-87.45932,28.650999069213867,43.01777460678723,40.29405133261381,1503.1600341796875,28.786420822143555,-87.43994140625,3.793,28.494295120239254,43.22514793772908,36.448731564472695,1500.0,3.845319768141117,36.448731564472695,0.0,3.845319768141117,31.622047766117987,-4.826683798354708,8.672003566495825,34.827946284920046,-1.6207852795526492,5.466105047693766,32.898929103341544,-3.5498024611311507,7.395122229272268
aoml/4903356/profiles/D4903356_256.nc,4903356,2024-10-04T19:35:44Z,20241004,27.93977,-89.26053,28.790000915527344,46.26322592458418,42.8015113908758,1343.199951171875,27.94168472290039,-89.280029296875,1.927,28.939998626708984,65.77450305152193,67.04415263727125,1250.0,-24.242641246395458,67.04415263727125,0.0,24.24264124639545,74.25956762630689,7.2154149890356365,31.458056235431087,66.68179173063717,-0.3623609066340805,23.88028033976137,65.27945713459415,-1.7646955026770996,22.47794574371835
aoml/4903546/profiles/D4903546_097.nc,4903546,2024-10-04T19:19:31Z,20241004,21.58425,-96.3699,29.69099998474121,43.18137220936346,62.58239036838637,1861.5999755859373,21.552940368652344,-96.4000244140625,4.672,29.77371597290039,48.535847203114194,63.337567825394,1500.0,-0.7551774570076262,63.337567825394,0.0,0.7551774570076262,51.474053665477385,-11.863514159916612,11.108336702908986,51.60961058034001,-11.727957245053986,10.97277978804636,52.44873438315333,-10.888833442240667,10.133655985233041
aoml/4903548/profiles/D4903548_097.nc,4903548,2024-10-04T17:08:45Z,20241004,27.14458,-89.53181,28.589000701904297,53.98762781186094,50.0937228442841,2005.6800537109373,27.16149139404297,-89.52001953125,2.213,29.23592185974121,56.762517540164325,59.31367728164004,2000.0,-9.219954437355938,59.31367728164004,0.0,9.219954437355938,64.19939420983557,4.885716928195535,14.105671365551473,59.752906494314125,0.43922921267408555,9.659183650030023,59.69792513500353,0.3842478533634903,9.604202290719428
aoml/4903550/profiles/D4903550_097.nc,4903550,2024-10-04T06:00:07Z,20241004,25.46803,-86.23948,29.97900009155273,166.71053556191336,196.52237637717437,2012.199951171875,25.44034767150879,-86.239990234375,3.079,29.957237243652344,118.04300132981167,137.94916598058782,3000.0,58.57321039658652,137.94916598058782,0.0,58.573210396586546,151.4565043645416,13.507338383953766,45.06587201263278,158.41610684114883,20.46694086056101,38.106269536025536,160.33107844821456,22.381912467626734,36.19129792895981
aoml/4903551/profiles/D4903551_097.nc,4903551,2024-10-04T14:48:19Z,20241004,25.71311,-90.59803,29.71500015258789,130.57352425564142,132.7864929331381,2007.9200439453125,25.72896957397461,-90.56005859375,4.193,29.70005989074707,94.25047647353468,110.72987544707196,3000.0,22.056617486066187,110.72987544707196,0.0,22.056617486066145,111.53532108364776,0.8054456365757972,21.251171849490348,120.4803563301459,9.750480883073934,12.306136602992211,124.11348496494577,13.383609517873808,8.673007968192337
aoml/4903556/profiles/D4903556_097.nc,4903556,2024-10-04T02:10:45Z,20241004,27.73996,-85.97125,29.31800079345703,69.30578070120013,80.95587607094186,2005.43994140625,27.729455947875977,-86.0,3.061,29.20006561279297,62.64309603440038,64.87201167171872,3000.0,16.08386439922313,64.87201167171872,0.0,16.08386439922313,70.32615356574621,5.454141894027487,10.629722505195645,52.01866634469515,-12.853345327023575,28.937209726246707,58.71098096734796,-6.161030704370766,22.244895103593898
aoml/4902349/profiles/D4902349_301.nc,4902349,2024-10-05T23:29:01Z,20241005,22.62395,-95.09589,29.256999969482425,40.302860119895,40.846051824765965,2007.800048828125,22.59084129333496,-95.1199951171875,4.436,30.304777145385746,52.3499348616894,68.54420103904816,3000.0,-27.6981492142822,68.54420103904816,0.0,27.698149214282196,55.80681229496038,-12.73738874408778,14.960760470194415,63.74150648460383,-4.802694554444329,22.895454659837867,69.16040091160212,0.6161998725539632,28.31434908683616
aoml/4903248/profiles/D4903248_376.nc,4903248,2024-10-05T03:24:26Z,20241005,25.69511,-94.03874,29.163000106811523,65.26211764056185,80.32889823391653,2012.0400390625,25.72896957397461,-94.0,5.407,29.032028198242188,88.83565275265752,83.73642833407101,3000.0,-3.4075301001544744,83.73642833407101,0.0,3.4075301001544744,91.9433447810275,8.206916446956498,11.614446547110973,87.07506082025623,3.338632486185219,6.746162586339693,90.01286536163089,6.276437027559879,9.683967127714354
aoml/4903249/profiles/D4903249_376.nc,4903249,2024-10-05T19:36:45Z,20241005,25.57806,-88.89565,29.827999114990234,54.865978773295055,69.20734501882133,2007.3199462890625,25.58474540710449,-88.8800048828125,1.736,29.312612533569336,54.20837389889992,56.53367245839662,3000.0,12.673672560424706,56.53367245839662,0.0,12.673672560424706,59.83093440761416,3.2972619492175355,9.37641061120717,56.342407306677345,-0.1912651517192785,12.864937712143984,55.609669804818054,-0.9240026535785688,13.597675214003274
aoml/4903471/profiles/D4903471_145.nc,4903471,2024-10-05T02:36:46Z,20241005,27.80691,-89.22701,28.655000686645508,56.7248947236631,53.11895217975806,1446.199951171875,27.80024528503418,-89.199951171875,2.763,28.92947006225586,63.39606438483391,61.32955506753647,1250.0,-8.210602887778407,61.32955506753647,0.0,8.210602887778407,60.55220638959757,-0.7773486779388961,7.433254209839511,45.02023938178296,-16.30931568575351,8.098712797975104,47.18151829782871,-14.148036769707758,5.937433881929351
aoml/4903543/profiles/D4903543_097.nc,4903543,2024-10-05T22:28:38Z,20241005,21.13786,-95.38831,29.399999618530277,28.11341049983818,36.17967494939864,2003.43994140625,21.10581970214844,-95.3599853515625,4.618,30.26908493041992,40.95829058845055,57.71374808287618,2500.0,-21.53407313347754,57.71374808287618,0.0,21.53407313347754,46.81734471538928,-10.896403367486897,10.637669765990644,44.05242310388988,-13.6613249789863,7.872748154491241,51.47793297529931,-6.235815107576869,15.298258025900672
aoml/4903544/profiles/D4903544_097.nc,4903544,2024-10-05T19:11:25Z,20241005,24.87046,-86.55614,30.090999603271484,147.0719058541937,169.0678474832532,2013.3599853515625,24.861026763916016,-86.56005859375,1.121,29.822019577026367,105.28158126670787,117.67200691603638,3000.0,51.39584056721681,117.67200691603638,0.0,51.39584056721681,142.42934546554716,24.757338549510777,26.63850201770603,147.1914118239471,29.519404907910726,21.876435659306082,142.91454841945722,25.24254150342084,26.15329906379597
