cast_id,platform,obs_time,obs_date,lat,lon,storm_name,storm_season,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2
aoml/4903464/profiles/D4903464_142.nc,4903464,2024-09-23T06:14:35Z,20240923,28.04888,-89.00171,HELENE,2024,29.57699966430664,52.01648144945419,55.92863259493693,1357.6845558341163,28.08294105529785,-89.0400390625,5.337,29.711181640625,51.115757342788214,55.41608148658254,1250.0,0.512551108354387
aoml/4903469/profiles/D4903469_143.nc,4903469,2024-09-23T14:25:45Z,20240923,23.42259,-81.59423,HELENE,2024,30.52199935913086,140.23951533630927,147.22985422955506,1414.0446253555813,23.40089988708496,-81.5999755859375,2.482,30.677047729492188,120.78997742394594,139.58771286860116,1250.0,7.6421413609539
aoml/4903545/profiles/D4903545_095.nc,4903545,2024-09-23T14:37:38Z,20240923,27.26277,-86.67946,HELENE,2024,30.268999099731445,61.25949256636587,66.35678511905597,1992.6307110885605,27.23264503479004,-86.6400146484375,5.141,30.281024932861328,83.3370024749178,97.06427866975497,3000.0,-30.707493550699
aoml/4903552/profiles/D4903552_095.nc,4903552,2024-09-23T18:21:35Z,20240923,25.81454,-85.47868,HELENE,2024,30.562999725341797,92.004533830803,103.27707870696442,1992.6464805155117,25.801015853881836,-85.43994140625,4.159,29.887147903442383,67.38001997455737,76.07648142032818,3000.0,27.20059728663624
aoml/4903356/profiles/D4903356_254.nc,4903356,2024-09-24T23:09:16Z,20240924,27.97716,-89.21807,HELENE,2024,30.003999710083008,47.35621762218181,48.664135123282385,1317.9764190856272,28.0123348236084,-89.199951171875,4.297,29.605485916137695,48.301515373844445,53.60756472917731,1250.0,-4.943429605894927
aoml/4903472/profiles/R4903472_142.nc,4903472,2024-09-24T01:44:20Z,20240924,25.69156,-88.68333,HELENE,2024,30.195999145507812,43.941476580823675,57.40023586188571,1976.6819038083433,25.656879425048828,-88.719970703125,5.325,29.58421516418457,50.685597526670335,51.931011615891755,3000.0,5.469224245993956
aoml/4903548/profiles/D4903548_095.nc,4903548,2024-09-24T15:48:51Z,20240924,27.20434,-89.78816,HELENE,2024,29.469999313354492,53.541987946259916,54.285098469644794,1988.860952748678,27.23264503479004,-89.760009765625,4.202,29.41261863708496,53.40786527033191,53.14907615622589,2000.0,1.1360223134189056
aoml/4903550/profiles/D4903550_095.nc,4903550,2024-09-24T04:32:40Z,20240924,25.10633,-85.20311,HELENE,2024,30.586000442504883,52.06465337205426,77.56464555032528,1987.7086402109535,25.078594207763672,-85.199951171875,3.1,30.808734893798828,58.25894618691383,85.97985693532131,3000.0,-8.415211384996027
aoml/4903551/profiles/D4903551_095.nc,4903551,2024-09-24T13:14:00Z,20240924,25.50958,-89.05669,HELENE,2024,29.76799964904785,51.66763003790991,63.1618168734573,1982.6521451358947,25.5125675201416,-89.0400390625,1.704,29.8836727142334,59.95975781329826,66.99103579777059,3000.0,-3.8292189243132952
aoml/4903556/profiles/D4903556_095.nc,4903556,2024-09-24T00:34:12Z,20240924,27.78833,-86.13843,HELENE,2024,30.194000244140625,36.656485354577256,49.329709607743176,1988.69446121668,27.80024528503418,-86.1600341796875,2.504,29.866741180419922,57.85295722073742,62.55631202863848,3000.0,-13.226602420895304
