cast_id,platform,obs_time,obs_date,lat,lon,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2,storm_name,storm_season,event_name,raw_rtofs_pred_tchp_kj_cm2,raw_rtofs_pred_delta_kj_cm2,raw_rtofs_abs_error_kj_cm2,ridge_delta_pred_tchp_kj_cm2,ridge_delta_pred_delta_kj_cm2,ridge_delta_abs_error_kj_cm2,gbr_delta_pred_tchp_kj_cm2,gbr_delta_pred_delta_kj_cm2,gbr_delta_abs_error_kj_cm2,rf_delta_pred_tchp_kj_cm2,rf_delta_pred_delta_kj_cm2,rf_delta_abs_error_kj_cm2
aoml/4903354/profiles/D4903354_228.nc,4903354,2024-06-28T00:31:50Z,20240628,27.5615,-86.80553,29.166000366210938,42.05904308065886,40.651604994854544,1994.238830067569,27.58773803710937,-86.800048828125,2.967,29.12596321105957,40.369092881694414,30.10817561916641,3000.0,10.543429375688136,BERYL,2024,BERYL_2024,30.10817561916641,0.0,10.543429375688135,25.19519213214658,-4.9129834870198295,15.456412862707964,30.487345007050436,0.3791693878840263,10.164259987804108,37.25057508971285,7.142399470546437,3.401029905141698
aoml/4903249/profiles/D4903249_356.nc,4903249,2024-06-28T01:58:21Z,20240628,25.69874,-86.36479,29.90699958801269,151.8800927308412,109.07657703935725,1983.609336328571,25.72896957397461,-86.4000244140625,4.874,30.083328247070312,126.11553471682758,104.65470613641382,3000.0,4.421870902943411,BERYL,2024,BERYL_2024,104.65470613641382,0.0,4.421870902943425,117.68221344154558,13.027507305131763,8.605636402188338,111.53123847464592,6.876532338232096,2.4546614352886706,112.515561315482,7.8608551790681815,3.4389842761247564
aoml/4903555/profiles/D4903555_077.nc,4903555,2024-06-28T02:24:22Z,20240628,25.65695,-94.07949,29.46500015258789,45.28344684175769,47.714022761111735,1987.3156372600376,25.656879425048828,-94.0799560546875,0.047,29.28901481628418,58.49587505561837,45.53153982687967,3000.0,2.182482934232062,BERYL,2024,BERYL_2024,45.53153982687967,0.0,2.1824829342320626,45.656977947768304,0.1254381208886315,2.057044813343431,43.13436088148705,-2.397178945392625,4.5796618796246875,47.763571525712166,2.2320316988324933,0.04954876460043067
coriolis/4903762/profiles/R4903762_034.nc,4903762,2024-06-28T02:38:40Z,20240628,15.16824,-43.66869666666667,27.299999237060547,95.95703427511091,40.11194984517026,1984.547171932757,15.179255485534668,-43.679931640625,1.719,26.750577926635746,64.7044394234189,16.683295944951748,4000.0,23.42865390021851,BERYL,2024,BERYL_2024,16.683295944951748,0.0,23.42865390021851,36.20362409761702,19.520328152665275,3.908325747553235,43.591076624478575,26.907780679526827,3.4791267793083165,37.08458408136471,20.401288136412962,3.0273657638055482
aoml/4903458/profiles/R4903458_063.nc,4903458,2024-06-28T04:06:16Z,20240628,13.3064,-58.9635,29.368000030517575,105.96743698826664,101.593869939479,1928.6549714690168,13.318414688110352,-58.9599609375,1.39,29.11308860778809,83.03298139536419,73.34136148443058,2000.0,28.25250845504841,BERYL,2024,BERYL_2024,73.34136148443058,0.0,28.252508455048428,95.9567159110616,22.615354426631015,5.637154028417413,98.53818570061738,25.196824216186798,3.0556842388616303,92.56591286671997,19.22455138228939,9.027957072759037
aoml/4903458/profiles/R4903458_063.nc,4903458,2024-06-28T04:06:16Z,20240628,13.3064,-58.9635,29.368000030517575,105.96743698826664,101.593869939479,1928.6549714690168,13.318414688110352,-58.9599609375,1.39,29.11308860778809,83.03298139536419,73.34136148443058,2000.0,28.25250845504841,BERYL,2024,BERYL_2024,73.34136148443058,0.0,28.252508455048428,95.9567159110616,22.615354426631015,5.637154028417413,98.53818570061738,25.196824216186798,3.0556842388616303,92.56591286671997,19.22455138228939,9.027957072759037
aoml/1902325/profiles/R1902325_101D.nc,1902325,2024-06-28T04:06:49Z,20240628,24.02102,-66.89654,28.525999069213867,24.70583287677093,11.763278499502244,5739.701392574958,23.986948013305664,-66.8800048828125,4.144,27.969560623168945,45.395569414669005,21.754105638473973,5000.0,-9.990827138971728,BERYL,2024,BERYL_2024,21.754105638473973,0.0,9.99082713897173,23.11196814676736,1.3578625082933868,11.348689647265116,20.120428581366912,-1.633677057107061,8.357150081864669,21.084197580219776,-0.6699080582541974,9.320919080717532
aoml/1902321/profiles/R1902321_094.nc,1902321,2024-06-28T05:18:02Z,20240628,16.65981,-45.52116,27.850000381469727,91.54145741691217,52.726835766972165,2003.9385884956016,16.640981674194336,-45.52001953125,2.097,27.39442443847656,60.39948911520385,27.89467712118771,3000.0,24.832158645784457,BERYL,2024,BERYL_2024,27.89467712118771,0.0,24.832158645784457,46.18280449430673,18.28812737311902,6.5440312726654355,50.25672554397727,22.36204842278956,2.4701102229948972,48.74276992789423,20.84809280670652,3.9840658390779353
aoml/4903348/profiles/D4903348_120.nc,4903348,2024-06-28T06:00:39Z,20240628,24.07142,-73.94171,29.233999252319336,77.10329874359408,53.53698933119862,1984.8994199316548,24.06001853942871,-73.9200439453125,2.539,28.983362197875977,64.62933803796268,50.62842865984796,5000.0,2.9085606713506635,BERYL,2024,BERYL_2024,50.62842865984796,0.0,2.9085606713506564,57.1666899058109,6.538261245962936,3.6297005746122792,50.383593372951424,-0.24483528689653866,3.153395958247195,48.44978175295772,-2.1786469068902434,5.0872075782409
coriolis/6903044/profiles/R6903044_139.nc,6903044,2024-06-28T06:26:30Z,20240628,7.439426666666667,-43.798296666666666,29.125999450683597,55.63236240923668,53.67084174400107,1987.0588824985584,7.419179439544678,-43.760009765625,4.784,28.601289749145508,59.810288714260494,48.93586148605869,4000.0,4.734980257942382,BERYL,2024,BERYL_2024,48.93586148605869,0.0,4.734980257942382,78.84065653457338,29.904795048514693,25.16981479057231,80.3360797626477,31.40021827658901,26.665238018646626,67.71036947802378,18.774507991965088,14.039527734022705
