cast_id,platform,obs_time,obs_date,lat,lon,storm_name,storm_season,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2
aoml/1902301/profiles/R1902301_128.nc,1902301,2024-06-28T21:20:21Z,20240628,14.66256,-40.63245,BERYL,2024,27.06800079345703,68.3786867799565,27.089081760151654,1994.440739985464,14.63810920715332,-40.719970703125,9.8,26.386003494262695,52.48490094773682,7.799494539190764,4000.0,19.28958722096089
aoml/1902321/profiles/R1902321_094.nc,1902321,2024-06-28T05:18:02Z,20240628,16.65981,-45.52116,BERYL,2024,27.850000381469727,91.54145741691215,52.726835766972165,2003.9385884956018,16.640981674194336,-45.52001953125,2.097,27.394424438476562,60.39948911520385,27.89467712118771,3000.0,24.832158645784457
aoml/1902325/profiles/R1902325_101D.nc,1902325,2024-06-28T04:06:49Z,20240628,24.02102,-66.89654,BERYL,2024,28.525999069213867,24.705832876770934,11.763278499502245,5739.701392574958,23.986948013305664,-66.8800048828125,4.144,27.969560623168945,45.395569414669005,21.754105638473973,5000.0,-9.990827138971728
aoml/1902360/profiles/R1902360_024.nc,1902360,2024-06-28T23:08:38Z,20240628,26.92844,-58.65025,BERYL,2024,28.32699966430664,22.559794769586727,12.846108736881401,5216.681188391522,26.94775390625,-58.6400146484375,2.375,27.592056274414062,31.764589507177803,14.181759524549863,5000.0,-1.3356507876684613
aoml/1902360/profiles/R1902360_025D.nc,1902360,2024-06-28T23:26:41Z,20240628,26.92866,-58.6498,BERYL,2024,28.298999786376953,21.647117481900633,14.214116548344093,5881.860295840374,26.94775390625,-58.6400146484375,2.334,27.592056274414062,31.764589507177803,14.181759524549863,5000.0,0.03235702379422989
aoml/3902262/profiles/D3902262_002.nc,3902262,2024-06-28T12:14:28Z,20240628,6.44459,-44.92092,BERYL,2024,28.89699935913086,64.55890974274575,66.56759187152626,1501.319021463401,6.4662299156188965,-44.9599609375,4.939,29.078615188598633,46.243521267811026,43.675142280885225,4000.0,22.892449590641036
aoml/3902298/profiles/D3902298_054.nc,3902298,2024-06-28T16:13:24Z,20240628,6.5285,-93.40474,BERYL,2024,28.570999145507812,39.67160038632194,38.8999543367505,1987.3355300433323,6.545714378356934,-93.43994140625,4.334,28.314451217651367,36.58183032423045,28.491941979677147,3000.0,10.40801235707335
aoml/4902349/profiles/D4902349_291.nc,4902349,2024-06-28T10:40:49Z,20240628,23.85424,-92.54959,BERYL,2024,29.09000015258789,39.29574449513721,43.869347226055204,1992.6454312368096,23.840682983398438,-92.56005859375,1.846,28.876808166503906,47.000579272957786,38.508706401086165,3000.0,5.360640824969039
aoml/4902928/profiles/R4902928_242.nc,4902928,2024-06-28T14:36:23Z,20240628,36.58078,-72.03777,BERYL,2024,26.575000762939453,40.70427866401277,6.63249873134507,1983.2353715255283,36.585845947265625,-72.0,3.419,25.992164611816406,,,3000.0,
aoml/4903043/profiles/D4903043_208.nc,4903043,2024-06-28T16:11:37Z,20240628,38.01539,-47.52825,BERYL,2024,24.79800033569336,,,1991.122634685235,37.98606491088867,-47.52001953125,3.34,23.825429916381836,,,5000.0,
