cast_id,platform,obs_time,obs_date,lat,lon,storm_name,storm_season,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2,milton_gbr_pred_tchp_kj_cm2,milton_gbr_pred_delta_kj_cm2,milton_gbr_abs_error_kj_cm2
aoml/4903464/profiles/D4903464_142.nc,4903464,2024-09-23T06:14:35Z,20240923,28.04888,-89.00171,HELENE,2024,29.57699966430664,52.37150313439249,59.070363371238585,1371.280029296875,28.08294105529785,-89.0400390625,5.337,29.711181640625,51.11575734278821,58.13705068035111,1250.0,0.933312690887476,50.55193507328218,-7.5851156070689285,8.518428297956405
aoml/4903469/profiles/D4903469_143.nc,4903469,2024-09-23T14:25:45Z,20240923,23.42259,-81.59423,HELENE,2024,30.52199935913086,141.18000949163203,155.54767278000594,1427.9200439453125,23.40089988708496,-81.5999755859375,2.482,30.677047729492188,120.78997742394594,146.50733879479571,1250.0,9.040333985210223,186.26342300231568,39.75608420751996,30.715750222309737
aoml/4903545/profiles/D4903545_095.nc,4903545,2024-09-23T14:37:38Z,20240923,27.26277,-86.67946,HELENE,2024,30.268999099731445,61.67531499738999,70.1173008502614,2015.52001953125,27.23264503479004,-86.6400146484375,5.141,30.281024932861328,83.3370024749178,101.86545350731764,3000.0,-31.74815265705624,114.04740079481184,12.181947287494197,43.930099944550435
aoml/4903552/profiles/D4903552_095.nc,4903552,2024-09-23T18:21:35Z,20240923,25.81454,-85.47868,HELENE,2024,30.5629997253418,92.62611616037384,109.12188515880344,2015.3199462890625,25.80101585388184,-85.43994140625,4.159,29.887147903442383,67.38001997455737,79.82209195681217,3000.0,29.29979320199128,90.99227924419758,11.170187287385403,18.12960591460586
aoml/4903356/profiles/D4903356_254.nc,4903356,2024-09-24T23:09:16Z,20240924,27.97716,-89.21807,HELENE,2024,30.003999710083008,47.67862786669106,51.38090926005919,1331.0400390625,28.0123348236084,-89.199951171875,4.297,29.60548591613769,48.301515373844445,56.23659238600695,1250.0,-4.855683125947756,48.05012695243881,-8.186465433568138,3.3307823076203817
aoml/4903472/profiles/R4903472_142.nc,4903472,2024-09-24T01:44:20Z,20240924,25.69156,-88.68333,HELENE,2024,30.19599914550781,44.23275951899442,60.64217803023593,1999.0799560546875,25.656879425048828,-88.719970703125,5.325,29.58421516418457,50.685597526670335,54.487851798370464,3000.0,6.154326231865468,56.872071061552404,2.38421926318194,3.7701069686835282
aoml/4903548/profiles/D4903548_095.nc,4903548,2024-09-24T15:48:51Z,20240924,27.20434,-89.78816,HELENE,2024,29.46999931335449,53.90417149624494,57.33094388153221,2011.6800537109373,27.23264503479004,-89.760009765625,4.202,29.41261863708496,53.40786527033191,55.73866061727501,2000.0,1.592283264257205,52.487542911361636,-3.251117705913373,4.8434009701705705
aoml/4903550/profiles/D4903550_095.nc,4903550,2024-09-24T04:32:40Z,20240924,25.10633,-85.20311,HELENE,2024,30.586000442504883,52.40863347481575,81.93236258868741,2010.199951171875,25.078594207763672,-85.199951171875,3.1,30.808734893798828,58.25894618691383,90.24846871799043,3000.0,-8.316106129303023,114.25242749822061,24.003958780230178,32.3200649095332
aoml/4903551/profiles/D4903551_095.nc,4903551,2024-09-24T13:14:00Z,20240924,25.50958,-89.05669,HELENE,2024,29.76799964904785,52.01042970501951,66.71776921324081,2005.1199951171875,25.5125675201416,-89.0400390625,1.704,29.8836727142334,59.95975781329826,70.29609599410684,3000.0,-3.5783267808660213,92.99941079494457,22.70331480083773,26.281641581703752
aoml/4903556/profiles/D4903556_095.nc,4903556,2024-09-24T00:34:12Z,20240924,27.78833,-86.13843,HELENE,2024,30.194000244140625,36.90455502522296,52.126983942840056,2011.5999755859373,27.80024528503418,-86.1600341796875,2.504,29.86674118041992,57.85295722073742,65.6504438823403,3000.0,-13.523459939500242,64.98963012647101,-0.6608137558692846,12.862646183630957
aoml/4903249/profiles/D4903249_374.nc,4903249,2024-09-25T20:05:40Z,20240925,25.99996,-88.55021,HELENE,2024,30.06800079345703,47.002737842793536,63.78276075094058,2006.1199951171875,26.01689338684082,-88.56005859375,2.125,29.701557159423828,55.67556807410016,61.12152552329344,2500.0,2.661235227647147,48.78512118980157,-12.33640433349187,14.99763956113901
aoml/4903254/profiles/D4903254_377.nc,4903254,2024-09-25T01:22:45Z,20240925,28.37575,-87.28958,HELENE,2024,29.792999267578125,28.65599822998047,33.72193527473015,1503.0799560546875,28.364892959594727,-87.280029296875,1.527,29.62137222290039,45.99062956331495,50.92298352039553,1500.0,-17.201048245665383,49.12252026822001,-1.8004632521755255,15.400584993489858
aoml/4903471/profiles/D4903471_143.nc,4903471,2024-09-25T01:08:57Z,20240925,27.74237,-88.82466,HELENE,2024,29.67099952697754,56.044483572720985,66.48400318757041,1588.5999755859375,27.729455947875977,-88.800048828125,2.816,29.173646926879883,52.5227629184426,51.32502240959834,1500.0,15.158980777972069,46.85349369475895,-4.471528714839387,19.630509492811456
aoml/4903544/profiles/D4903544_095.nc,4903544,2024-09-25T17:54:22Z,20240925,25.56154,-85.28192,HELENE,2024,30.31399917602539,54.51084580985834,76.59598015787913,2003.3599853515625,25.58474540710449,-85.280029296875,2.587,30.7526912689209,72.56113285671633,110.42773125858518,3000.0,-33.83175110070606,149.63154531300532,39.203814054420135,73.03556515512619
aoml/4903549/profiles/D4903549_095.nc,4903549,2024-09-25T01:58:59Z,20240925,26.75769,-87.02166,HELENE,2024,30.41699981689453,106.54326690978154,136.8245567050589,1788.1199951171875,26.73361015319824,-87.0400390625,3.24,30.452238082885746,118.313741938627,149.29352057775154,2500.0,-12.468963872692626,160.0873269389828,10.793806361231276,23.262770233923902
aoml/4903559/profiles/D4903559_060.nc,4903559,2024-09-25T05:37:45Z,20240925,18.76036,-82.5705,HELENE,2024,30.003999710083008,165.67662419377655,222.86193437488683,1007.0800170898438,18.774702072143555,-82.56005859375,1.937,29.793657302856445,126.32412978925552,145.5399130714087,4000.0,77.32202130347812,173.54885626003107,28.008943188622368,49.313078114855756
aoml/4903562/profiles/D4903562_060.nc,4903562,2024-09-25T14:09:35Z,20240925,21.45775,-85.82032,HELENE,2024,30.298999786376957,139.6449877539292,177.07490253849414,999.3599853515624,21.478515625,-85.8399658203125,3.076,30.66254425048828,111.72990146422322,161.01656919004174,1500.0,16.058333348452408,193.54886966010852,32.53230047006679,16.47396712161438
aoml/4903563/profiles/D4903563_062.nc,4903563,2024-09-25T21:20:27Z,20240925,20.45503,-80.18306,HELENE,2024,30.49799919128418,157.78978747213313,212.55995020865225,1009.3599853515624,20.43261337280273,-80.1600341796875,3.46,30.52953147888184,131.94957769046405,182.54078940124117,2000.0,30.01916080741111,214.14453242086088,31.603743019619714,1.5845822122086304
aoml/4903622/profiles/R4903622_110.nc,4903622,2024-09-25T09:38:06Z,20240925,23.8163,-90.5114,HELENE,2024,30.475000381469727,63.62429923662664,85.5734971748284,1899.3800048828125,23.84068298339844,-90.47998046875,4.191,30.208839416503903,53.651590608495496,65.69243914333975,3000.0,19.88105803148865,82.94358809910376,17.25114895576401,2.6299090757246404
aoml/4903622/profiles/R4903622_110.nc,4903622,2024-09-25T09:38:06Z,20240925,23.8163,-90.5114,HELENE,2024,30.475000381469727,63.62429923662664,85.5734971748284,1899.3800048828125,23.84068298339844,-90.47998046875,4.191,30.208839416503903,53.651590608495496,65.69243914333975,3000.0,19.88105803148865,82.94358809910376,17.25114895576401,2.6299090757246404
coriolis/2903766/profiles/R2903766_099.nc,2903766,2024-09-25T13:41:40Z,20240925,14.484098333333334,-78.40174,HELENE,2024,30.357999801635746,98.3759542818092,136.40765428310084,1831.300048828125,14.483247756958008,-78.4000244140625,0.208,30.13490104675293,91.91705314621925,112.0986457039853,1500.0,24.30900857911554,147.86284977934298,35.76420407535768,11.45519549624214
aoml/4903279/profiles/D4903279_313.nc,4903279,2024-09-26T11:49:18Z,20240926,26.89433,-87.5152,HELENE,2024,29.694000244140625,56.63308908282562,56.9418073208584,2006.3599853515625,26.87641716003418,-87.52001953125,2.048,30.04334831237793,79.56747265276269,93.69424205176011,2500.0,-36.752434730901726,101.59681762861152,7.9025755768514045,44.655010307753116
aoml/4903354/profiles/D4903354_246.nc,4903354,2024-09-26T20:45:05Z,20240926,24.07007,-84.94599,HELENE,2024,29.84000015258789,120.0,164.4528412706698,2011.719970703125,24.06001853942871,-84.9599609375,1.806,29.83683586120605,99.30435912802996,122.45557580505388,3000.0,41.99726546561594,148.0943883058462,25.638812500792312,16.358452964823613
aoml/4903466/profiles/D4903466_143.nc,4903466,2024-09-26T11:43:11Z,20240926,23.51772,-83.5385,HELENE,2024,30.049999237060547,108.87806464019552,152.1988900124546,2010.0,23.54765892028809,-83.52001953125,3.825,29.70204162597656,119.90969899665552,140.3091952543785,2000.0,11.889694758076104,159.58222425560677,19.27302900122828,7.383334243152177
aoml/4903468/profiles/D4903468_146.nc,4903468,2024-09-26T08:19:22Z,20240926,25.95422,-92.61024,HELENE,2024,30.041000366210938,36.79338827342257,45.94193334048752,2011.239990234375,25.944978713989254,-92.6400146484375,3.149,30.073776245117188,54.50525532337669,67.34288767053872,2000.0,-21.4009543300512,51.94412345230223,-15.398764218236487,6.002190111814706
aoml/4903554/profiles/D4903554_102.nc,4903554,2024-09-26T03:17:13Z,20240926,23.98758,-84.07362,HELENE,2024,30.17799949645996,95.46892697166707,135.67696175341695,1949.47998046875,23.986948013305664,-84.0799560546875,0.648,29.685806274414062,87.7883295915745,102.30096787422544,2000.0,33.37599387919151,125.49299360464197,23.192025730416532,10.18396814877498
aoml/4903353/profiles/D4903353_261.nc,4903353,2024-09-27T05:36:41Z,20240927,28.26784,-88.93015,HELENE,2024,29.187000274658203,40.7626130797737,37.37821096944391,1321.5999755859375,28.29447555541992,-88.9599609375,4.159,29.42564010620117,50.28135372512283,58.24088673190782,1000.0,-20.862675762463915,51.1812866432614,-7.05960008864642,13.803075673817489
aoml/4903555/profiles/D4903555_095.nc,4903555,2024-09-27T02:43:32Z,20240927,25.29694,-92.61743,HELENE,2024,29.357999801635746,55.72402252426427,65.84110192622576,2015.239990234375,25.295774459838867,-92.6400146484375,2.274,29.76273536682129,55.34463278568396,62.03804644571301,3000.0,3.8030554805127537,61.655000039656116,-0.38304640605689144,4.186101886569645
aoml/4903464/profiles/D4903464_143.nc,4903464,2024-09-28T06:48:09Z,20240928,28.03658,-89.01035,HELENE,2024,28.92200088500977,39.88592435636879,43.32234549025416,1361.1199951171875,28.0123348236084,-89.0400390625,3.97,29.16116142272949,49.946182268029645,54.51924214002793,1250.0,-11.19689664977377,51.82483676055616,-2.6944053794717675,8.502491270302002
aoml/4903469/profiles/D4903469_144.nc,4903469,2024-09-28T14:52:23Z,20240928,23.42424,-81.59,HELENE,2024,30.000999450683597,140.64830755118106,170.99068729330304,1443.0400390625,23.40089988708496,-81.5999755859375,2.788,29.66091537475586,95.84805146319748,111.18661689592676,1250.0,59.80407039737628,141.15009103181154,29.96347413588478,29.8405962614915
aoml/4903472/profiles/R4903472_143.nc,4903472,2024-09-28T20:16:43Z,20240928,25.66655,-88.93734,HELENE,2024,29.5629997253418,41.17567678121576,43.09172439355208,1999.0400390625,25.656879425048828,-88.9599609375,2.509,29.67229652404785,63.99990642896789,72.13647948682382,3000.0,-29.04475509327174,81.15836888998635,9.021889403162533,38.06664449643427
