source_file,platform,cycle,lat,lon,obs_time,n_levels,max_depth_dbar,min_depth_dbar,surface_T_c,surface_S_psu
aoml/4903468/profiles/D4903468_149.nc,4903468,149.0,25.52029,-92.34382,2024-10-11T13:00:18Z,1011,2012.0,0.96,28.835,36.151
aoml/4903469/profiles/D4903469_144.nc,4903469,144.0,23.42424,-81.59,2024-09-28T14:52:23Z,727,1443.0,1.0,30.001,36.264
aoml/4903469/profiles/D4903469_145.nc,4903469,145.0,23.51574,-81.41043,2024-10-03T15:23:55Z,722,1433.1,1.0,30.068,36.254
aoml/4903469/profiles/D4903469_146.nc,4903469,146.0,23.53962,-81.37241,2024-10-08T15:50:28Z,712,1413.6,0.96,29.646,36.075
aoml/4903469/profiles/D4903469_147.nc,4903469,147.0,23.56406,-81.28937,2024-10-13T16:21:12Z,711,1411.6,1.0,29.637,36.282
aoml/4903471/profiles/D4903471_144.nc,4903471,144.0,27.73531,-89.19934,2024-09-30T01:57:35Z,760,1510.3,1.04,29.272,34.691
aoml/4903471/profiles/D4903471_145.nc,4903471,145.0,27.80691,-89.22701,2024-10-05T02:36:46Z,728,1446.2,1.08,28.655,35.459
aoml/4903471/profiles/D4903471_146.nc,4903471,146.0,27.79764,-89.27073,2024-10-10T03:16:51Z,719,1427.6,1.08,28.432,35.741
aoml/4903472/profiles/R4903472_143.nc,4903472,143.0,25.66655,-88.93734,2024-09-28T20:16:43Z,1149,1999.0,1.56,29.563,36.246
aoml/4903472/profiles/R4903472_144.nc,4903472,144.0,25.57106,-89.21485,2024-10-03T14:44:05Z,1149,1999.1,1.52,29.365,35.955
aoml/4903472/profiles/R4903472_145.nc,4903472,145.0,25.41827,-89.29664,2024-10-08T09:11:25Z,1149,1999.0,1.92,29.456,36.245
aoml/4903472/profiles/R4903472_146.nc,4903472,146.0,25.27234,-89.11948,2024-10-13T03:48:57Z,1144,1999.0,0.84,28.336,36.239
aoml/4903543/profiles/D4903543_096.nc,4903543,96.0,21.19144,-95.37199,2024-09-30T21:31:52Z,1010,2009.3,1.0,30.34,36.398
aoml/4903543/profiles/D4903543_097.nc,4903543,97.0,21.13786,-95.38831,2024-10-05T22:28:38Z,1007,2003.4,1.08,29.4,36.404
aoml/4903543/profiles/D4903543_098.nc,4903543,98.0,21.11117,-95.35097,2024-10-10T23:17:05Z,1010,2009.4,1.08,28.773,36.402
aoml/4903544/profiles/D4903544_096.nc,4903544,96.0,24.8881,-85.75159,2024-09-30T18:32:19Z,1010,2009.6,0.96,29.361,36.27
aoml/4903544/profiles/D4903544_097.nc,4903544,97.0,24.87046,-86.55614,2024-10-05T19:11:25Z,1012,2013.4,1.04,30.091,36.221
aoml/4903544/profiles/D4903544_098.nc,4903544,98.0,25.18772,-86.80279,2024-10-10T19:54:28Z,1008,2005.3,1.0,29.237,36.156
aoml/4903545/profiles/D4903545_096.nc,4903545,96.0,27.79055,-87.47499,2024-09-28T15:12:19Z,1012,2013.9,0.96,28.78,36.408
aoml/4903545/profiles/D4903545_097.nc,4903545,97.0,27.77197,-87.49871,2024-10-03T15:57:39Z,1010,2009.4,1.0,29.046,35.844
aoml/4903545/profiles/D4903545_098.nc,4903545,98.0,27.84118,-87.1085,2024-10-08T16:36:45Z,1010,2009.4,1.04,28.321,36.034
aoml/4903545/profiles/D4903545_099.nc,4903545,99.0,27.63089,-86.54783,2024-10-13T17:23:51Z,1014,2015.8,0.48,28.044,36.377
aoml/4903546/profiles/D4903546_096.nc,4903546,96.0,21.59036,-96.38342,2024-09-29T17:52:17Z,951,1890.8,0.48,30.66,36.558
aoml/4903546/profiles/D4903546_097.nc,4903546,97.0,21.58425,-96.3699,2024-10-04T19:19:31Z,936,1861.6,1.04,29.691,36.328
aoml/4903546/profiles/D4903546_098.nc,4903546,98.0,21.66424,-96.40131,2024-10-09T20:38:24Z,952,1893.6,0.96,29.1,36.157
aoml/4903546/profiles/D4903546_099.nc,4903546,99.0,21.65214,-96.36685,2024-10-14T21:52:26Z,911,1812.9,0.96,28.852,36.441
aoml/4903547/profiles/D4903547_096.nc,4903547,96.0,20.90094,-95.51482,2024-09-30T06:26:44Z,1008,2005.5,1.0,30.613,36.403
aoml/4903547/profiles/D4903547_097.nc,4903547,97.0,20.64779,-95.5343,2024-10-05T07:06:07Z,1008,2003.6,0.48,29.635,36.434
aoml/4903547/profiles/D4903547_098.nc,4903547,98.0,20.40985,-95.59048,2024-10-10T07:46:51Z,1013,2015.3,1.0,28.651,36.214
aoml/4903548/profiles/D4903548_096.nc,4903548,96.0,27.15116,-89.70664,2024-09-29T16:34:19Z,1012,2013.4,1.08,28.992,34.072
aoml/4903548/profiles/D4903548_097.nc,4903548,97.0,27.14458,-89.53181,2024-10-04T17:08:45Z,1008,2005.7,1.04,28.589,34.564
aoml/4903548/profiles/D4903548_098.nc,4903548,98.0,27.27476,-89.39326,2024-10-09T17:49:40Z,1008,2005.2,1.08,28.268,35.106
aoml/4903548/profiles/D4903548_099.nc,4903548,99.0,27.01463,-89.52871,2024-10-14T18:44:11Z,1013,2013.0,0.44,27.974,35.391
aoml/4903549/profiles/D4903549_096.nc,4903549,96.0,27.52895,-87.31725,2024-09-30T02:48:33Z,896,1781.5,0.96,29.077,35.096
aoml/4903549/profiles/D4903549_097.nc,4903549,97.0,26.82173,-87.48267,2024-10-05T03:34:07Z,885,1759.6,1.04,29.686,36.249
aoml/4903549/profiles/D4903549_098.nc,4903549,98.0,26.162,-87.49813,2024-10-10T04:30:58Z,901,1793.5,0.96,29.671,36.095
aoml/4903550/profiles/D4903550_096.nc,4903550,96.0,25.26286,-86.10289,2024-09-29T05:16:19Z,1011,2011.3,1.04,30.157,36.112
aoml/4903550/profiles/D4903550_097.nc,4903550,97.0,25.46803,-86.23948,2024-10-04T06:00:07Z,1011,2012.2,1.0,29.979,36.177
aoml/4903550/profiles/D4903550_098.nc,4903550,98.0,25.15189,-86.0769,2024-10-09T06:43:46Z,1011,2011.6,1.0,29.411,36.167
aoml/4903550/profiles/D4903550_099.nc,4903550,99.0,24.70385,-86.34925,2024-10-14T07:18:25Z,1012,2013.8,0.96,29.269,36.275
aoml/4903551/profiles/D4903551_096.nc,4903551,96.0,25.74653,-89.71817,2024-09-29T14:07:49Z,1012,2011.4,0.48,29.964,36.287
