month,month_label,n_pairs,n_platforms,n_dates,obs_mean_kj_cm2,model_mean_kj_cm2,mean_delta_kj_cm2,median_delta_kj_cm2,mae_kj_cm2,rmse_kj_cm2
1,Jan,4,4,1,40.13059827536139,21.589757866577767,18.540840408783627,14.900787226890294,19.23578023893501,25.520456313080043
2,Feb,11,7,5,28.949363000696643,20.404836162821027,8.544526837875617,8.43239631085673,11.52352946340477,14.494890697807387
3,Mar,18,11,5,26.962118710153515,15.773191938087885,11.188926772065628,6.467145378787237,12.828121245214994,16.743059109333117
8,Aug,59,19,5,106.93890925215356,99.98149359050696,6.957415661646602,3.96504705235958,19.94246607247042,26.54777026223293
9,Sep,53,18,5,105.51098384114297,95.27593158376375,10.235052257379214,9.357204699397585,23.389978334203846,33.49004306923601
10,Oct,42,32,5,80.06615786029577,74.51061741725756,5.555540443038209,-0.17167733518525274,18.14962397017825,23.864365890067674
