season,months,n_pairs,obs_mean_kj_cm2,model_mean_kj_cm2,mean_delta_kj_cm2
Jan-Mar,Jan-Mar,33,29.22071281490521,18.02211164069468,11.198601174210536
Aug-Oct,Aug-Oct,154,99.11854817915624,91.4154443331442,7.70310384601203
