cast_id,platform,year,month,obs_date,lat,lon,model_grid_lat,model_grid_lon,model_grid_distance_km,obs_ohc_j_m2,obs_tchp_kj_cm2,obs_d26_m,model_ohc_j_m2,model_tchp_kj_cm2,model_d26_m,delta_ohc_j_m2,delta_tchp_kj_cm2
aoml/4903464/profiles/D4903464_097.nc,4903464,2024,2,20240210,28.496,-88.632,28.505590438842773,-88.6400146484375,1.323,,,,,,,,
aoml/4903545/profiles/D4903545_050.nc,4903545,2024,2,20240210,26.786,-86.803,26.805036544799805,-86.800048828125,2.137,42457040.58812261,4.245704058812261,91.39361631816207,27200133.58863601,2.720013358863601,91.17774439610605,15256906.999486595,1.52569069994866
aoml/4903550/profiles/D4903550_050.nc,4903550,2024,2,20240210,25.14,-90.511,25.151031494140625,-90.47998046875,3.355,,,,,,,,
aoml/4903551/profiles/D4903551_050.nc,4903551,2024,2,20240210,25.556,-88.114,25.584745407104492,-88.0799560546875,4.677,287491138.0885578,28.74911380885578,89.68356156936026,29056479.578658618,2.905647957865862,56.10368734278177,258434658.50989917,25.843465850989915
aoml/4903552/profiles/D4903552_050.nc,4903552,2024,2,20240210,24.208,-84.012,24.20603370666504,-84.0,1.236,,,,,,,,
aoml/4903556/profiles/D4903556_050.nc,4903556,2024,2,20240210,25.166,-86.858,25.151031494140625,-86.8800048828125,2.77,,,,63005806.18802544,6.3005806188025435,105.22921155946513,,
aoml/4903557/profiles/D4903557_050.nc,4903557,2024,2,20240210,25.027,-86.718,25.006114959716797,-86.719970703125,2.331,,,,52128803.718869016,5.212880371886901,92.99189169084282,,
aoml/4903559/profiles/D4903559_030.nc,4903559,2024,2,20240210,19.928,-83.638,19.906957626342773,-83.5999755859375,4.613,397412582.5209411,39.741258252094106,134.99508569652875,250224391.4172933,25.02243914172933,114.40156405451054,147188191.10364777,14.718819110364777
aoml/4903562/profiles/D4903562_030.nc,4903562,2024,2,20240210,19.334,-85.336,19.304065704345703,-85.3599853515625,4.173,433358529.4781337,43.335852947813365,150.62843645151804,428484004.5625724,42.84840045625724,121.97543475539771,4874524.915561259,0.4874524915561267
aoml/4903563/profiles/D4903563_032.nc,4903563,2024,2,20240210,20.521,-81.863,20.5075626373291,-81.8399658203125,2.826,283381310.73138684,28.338131073138683,126.36658572265212,421786317.64618546,42.178631764618544,109.84256778621888,-138405006.91479862,-13.84050069147986
aoml/4903240/profiles/D4903240_346.nc,4903240,2024,2,20240216,25.001,-95.234,25.006114959716797,-95.199951171875,3.478,,,,,,,,
aoml/4903248/profiles/D4903248_331.nc,4903248,2024,2,20240216,26.199,-91.514,26.23237419128418,-91.52001953125,3.759,,,,,,,,
aoml/4903356/profiles/D4903356_209.nc,4903356,2024,2,20240216,28.312,-88.919,28.294475555419922,-88.8800048828125,4.286,,,,,,,,
aoml/4903466/profiles/D4903466_099.nc,4903466,2024,2,20240216,23.552,-84.829,23.547658920288086,-84.800048828125,2.99,29914811.6034641,2.9914811603464098,74.47194223085242,,,,,
aoml/4903468/profiles/D4903468_102.nc,4903468,2024,2,20240216,26.626,-85.935,26.59062385559082,-85.9200439453125,4.205,,,,,,,,
aoml/4903471/profiles/D4903471_099.nc,4903471,2024,2,20240216,28.748,-87.46,28.716283798217773,-87.43994140625,4.033,,,,,,,,
aoml/4903546/profiles/D4903546_051.nc,4903546,2024,2,20240216,25.451,-90.423,25.44034767150879,-90.4000244140625,2.593,,,,,,,,
aoml/4903548/profiles/D4903548_051.nc,4903548,2024,2,20240216,25.258,-85.907,25.223424911499023,-85.9200439453125,4.062,79739.24126579268,0.007973924126579266,5.752704878917015,,,,,
aoml/4903549/profiles/D4903549_051.nc,4903549,2024,2,20240216,25.721,-88.663,25.72896957397461,-88.6400146484375,2.467,115145490.9467807,11.514549094678069,49.08638009055372,30821527.83821339,3.082152783821339,62.91150442477876,84323963.1085673,8.43239631085673
aoml/4903553/profiles/D4903553_051.nc,4903553,2024,2,20240216,23.091,-83.27,23.106897354125977,-83.280029296875,2.044,144307006.16084564,14.430700616084563,117.05382981107425,,,,,
aoml/4903554/profiles/D4903554_058.nc,4903554,2024,2,20240216,25.344,-84.577,25.36808204650879,-84.56005859375,3.173,,,,,,,,
aoml/4902349/profiles/D4902349_278.nc,4902349,2024,2,20240220,20.059,-94.928,20.05732536315918,-94.9599609375,3.344,,,,,,,,
aoml/4902352/profiles/D4902352_282.nc,4902352,2024,2,20240220,23.997,-96.038,23.986948013305664,-96.0,4.019,,,,,,,,
aoml/4903255/profiles/D4903255_330.nc,4903255,2024,2,20240220,27.115,-88.756,27.090290069580078,-88.719970703125,4.502,,,,,,,,
aoml/4903279/profiles/D4903279_269.nc,4903279,2024,2,20240220,26.083,-84.85,26.088764190673828,-84.8800048828125,3.064,,,,,,,,
aoml/4903464/profiles/D4903464_099.nc,4903464,2024,2,20240220,28.481,-88.658,28.505590438842773,-88.6400146484375,3.251,,,,,,,,
aoml/4903545/profiles/D4903545_052.nc,4903545,2024,2,20240220,26.521,-87.583,26.519062042236328,-87.5999755859375,1.703,,,,141954380.61338305,14.195438061338304,93.93007266903068,,
aoml/4903550/profiles/D4903550_052.nc,4903550,2024,2,20240220,24.69,-89.788,24.715768814086914,-89.760009765625,4.026,,,,,,,,
aoml/4903551/profiles/D4903551_052.nc,4903551,2024,2,20240220,25.493,-88.077,25.5125675201416,-88.0799560546875,2.196,412458186.3103341,41.24581863103341,114.59782800440917,282154278.3272149,28.21542783272149,125.66222525545024,130303907.98311919,13.03039079831192
