cast_id,source_file,platform,lat,lon,obs_date,month,year
aoml/4903248/profiles/D4903248_326.nc,aoml/4903248/profiles/D4903248_326.nc,4903248,26.097,-92.117,20240121,1,2024
aoml/4903255/profiles/D4903255_324.nc,aoml/4903255/profiles/D4903255_324.nc,4903255,27.685,-88.54,20240121,1,2024
aoml/4903464/profiles/D4903464_093.nc,aoml/4903464/profiles/D4903464_093.nc,4903464,28.476,-88.642,20240121,1,2024
aoml/4903545/profiles/D4903545_046.nc,aoml/4903545/profiles/D4903545_046.nc,4903545,27.087,-86.327,20240121,1,2024
aoml/4903550/profiles/D4903550_046.nc,aoml/4903550/profiles/D4903550_046.nc,4903550,25.421,-90.613,20240121,1,2024
aoml/4903551/profiles/D4903551_046.nc,aoml/4903551/profiles/D4903551_046.nc,4903551,25.341,-87.338,20240121,1,2024
aoml/4903552/profiles/D4903552_046.nc,aoml/4903552/profiles/D4903552_046.nc,4903552,23.679,-83.572,20240121,1,2024
aoml/4903556/profiles/D4903556_046.nc,aoml/4903556/profiles/D4903556_046.nc,4903556,25.604,-86.913,20240121,1,2024
aoml/4903557/profiles/D4903557_046.nc,aoml/4903557/profiles/D4903557_046.nc,4903557,25.416,-87.023,20240121,1,2024
aoml/4903563/profiles/D4903563_030.nc,aoml/4903563/profiles/D4903563_030.nc,4903563,21.245,-81.602,20240121,1,2024
aoml/4903622/profiles/R4903622_086.nc,aoml/4903622/profiles/R4903622_086.nc,4903622,21.498,-95.787,20240121,1,2024
aoml/4902349/profiles/D4902349_276.nc,aoml/4902349/profiles/D4902349_276.nc,4902349,19.996,-94.798,20240131,1,2024
aoml/4902352/profiles/D4902352_280.nc,aoml/4902352/profiles/D4902352_280.nc,4902352,24.249,-96.494,20240131,1,2024
aoml/4903238/profiles/D4903238_346.nc,aoml/4903238/profiles/D4903238_346.nc,4903238,23.996,-81.394,20240131,1,2024
aoml/4903248/profiles/D4903248_328.nc,aoml/4903248/profiles/D4903248_328.nc,4903248,26.112,-91.82,20240131,1,2024
aoml/4903255/profiles/D4903255_326.nc,aoml/4903255/profiles/D4903255_326.nc,4903255,27.704,-88.557,20240131,1,2024
aoml/4903279/profiles/D4903279_264.nc,aoml/4903279/profiles/D4903279_264.nc,4903279,25.499,-84.601,20240131,1,2024
aoml/4903464/profiles/D4903464_095.nc,aoml/4903464/profiles/D4903464_095.nc,4903464,28.494,-88.647,20240131,1,2024
aoml/4903545/profiles/D4903545_048.nc,aoml/4903545/profiles/D4903545_048.nc,4903545,27.377,-86.141,20240131,1,2024
aoml/4903550/profiles/D4903550_048.nc,aoml/4903550/profiles/D4903550_048.nc,4903550,25.521,-90.742,20240131,1,2024
aoml/4903551/profiles/D4903551_048.nc,aoml/4903551/profiles/D4903551_048.nc,4903551,25.471,-87.562,20240131,1,2024
aoml/4903552/profiles/D4903552_048.nc,aoml/4903552/profiles/D4903552_048.nc,4903552,23.896,-83.705,20240131,1,2024
aoml/4903556/profiles/D4903556_048.nc,aoml/4903556/profiles/D4903556_048.nc,4903556,25.308,-86.887,20240131,1,2024
aoml/4903557/profiles/D4903557_048.nc,aoml/4903557/profiles/D4903557_048.nc,4903557,25.185,-86.841,20240131,1,2024
aoml/4903559/profiles/D4903559_029.nc,aoml/4903559/profiles/D4903559_029.nc,4903559,19.648,-83.466,20240131,1,2024
aoml/4903563/profiles/D4903563_031.nc,aoml/4903563/profiles/D4903563_031.nc,4903563,20.989,-81.974,20240131,1,2024
aoml/4902915/profiles/D4902915_490.nc,aoml/4902915/profiles/D4902915_490.nc,4902915,21.328,-95.062,20240201,2,2024
aoml/4903237/profiles/D4903237_343.nc,aoml/4903237/profiles/D4903237_343.nc,4903237,24.176,-81.51,20240201,2,2024
aoml/4903240/profiles/D4903240_343.nc,aoml/4903240/profiles/D4903240_343.nc,4903240,24.472,-95.527,20240201,2,2024
aoml/4903356/profiles/D4903356_206.nc,aoml/4903356/profiles/D4903356_206.nc,4903356,28.326,-88.874,20240201,2,2024
aoml/4903466/profiles/D4903466_096.nc,aoml/4903466/profiles/D4903466_096.nc,4903466,23.829,-85.752,20240201,2,2024
aoml/4903468/profiles/D4903468_099.nc,aoml/4903468/profiles/D4903468_099.nc,4903468,26.16,-85.432,20240201,2,2024
aoml/4903471/profiles/D4903471_096.nc,aoml/4903471/profiles/D4903471_096.nc,4903471,28.595,-87.564,20240201,2,2024
aoml/4903546/profiles/D4903546_048.nc,aoml/4903546/profiles/D4903546_048.nc,4903546,25.377,-89.089,20240201,2,2024
aoml/4903548/profiles/D4903548_048.nc,aoml/4903548/profiles/D4903548_048.nc,4903548,24.302,-85.396,20240201,2,2024
aoml/4903549/profiles/D4903549_048.nc,aoml/4903549/profiles/D4903549_048.nc,4903549,25.813,-88.568,20240201,2,2024
aoml/4903553/profiles/D4903553_048.nc,aoml/4903553/profiles/D4903553_048.nc,4903553,23.106,-83.489,20240201,2,2024
aoml/4903554/profiles/D4903554_055.nc,aoml/4903554/profiles/D4903554_055.nc,4903554,25.675,-85.221,20240201,2,2024
aoml/4903622/profiles/R4903622_087.nc,aoml/4903622/profiles/R4903622_087.nc,4903622,21.92,-95.766,20240201,2,2024
aoml/4902349/profiles/D4902349_277.nc,aoml/4902349/profiles/D4902349_277.nc,4902349,19.899,-94.913,20240210,2,2024
aoml/4902352/profiles/D4902352_281.nc,aoml/4902352/profiles/D4902352_281.nc,4902352,24.06,-96.214,20240210,2,2024
aoml/4902915/profiles/D4902915_492.nc,aoml/4902915/profiles/D4902915_492.nc,4902915,21.658,-95.461,20240210,2,2024
aoml/4903248/profiles/D4903248_330.nc,aoml/4903248/profiles/D4903248_330.nc,4903248,26.147,-91.747,20240210,2,2024
aoml/4903255/profiles/D4903255_328.nc,aoml/4903255/profiles/D4903255_328.nc,4903255,27.579,-88.922,20240210,2,2024
aoml/4903279/profiles/D4903279_267.nc,aoml/4903279/profiles/D4903279_267.nc,4903279,26.001,-84.863,20240210,2,2024
aoml/4903464/profiles/D4903464_097.nc,aoml/4903464/profiles/D4903464_097.nc,4903464,28.496,-88.632,20240210,2,2024
aoml/4903545/profiles/D4903545_050.nc,aoml/4903545/profiles/D4903545_050.nc,4903545,26.786,-86.803,20240210,2,2024
aoml/4903550/profiles/D4903550_050.nc,aoml/4903550/profiles/D4903550_050.nc,4903550,25.14,-90.511,20240210,2,2024
aoml/4903551/profiles/D4903551_050.nc,aoml/4903551/profiles/D4903551_050.nc,4903551,25.556,-88.114,20240210,2,2024
aoml/4903552/profiles/D4903552_050.nc,aoml/4903552/profiles/D4903552_050.nc,4903552,24.208,-84.012,20240210,2,2024
aoml/4903556/profiles/D4903556_050.nc,aoml/4903556/profiles/D4903556_050.nc,4903556,25.166,-86.858,20240210,2,2024
aoml/4903557/profiles/D4903557_050.nc,aoml/4903557/profiles/D4903557_050.nc,4903557,25.027,-86.718,20240210,2,2024
aoml/4903559/profiles/D4903559_030.nc,aoml/4903559/profiles/D4903559_030.nc,4903559,19.928,-83.638,20240210,2,2024
