target,macro_region,patch_lat0,patch_lon0,patch_label,rows,dates,raw_rmse,raw_mae,raw_bias,raw_corr,corrected_rmse,corrected_mae,corrected_bias,corrected_corr,mae_improvement,rmse_improvement
tchp,atlantic,20,-100,"lat[20,40) lon[-100,-80)",423,52,21.174187223834554,14.87449603443482,-2.4187619368718583,0.8749929892052883,19.847680362726457,14.400174402924826,-2.324217520168838,0.8911044711094696,0.4743216315099943,1.326506861108097
tchp,atlantic,0,-60,"lat[0,20) lon[-60,-40)",320,56,19.802277461814842,15.916972713152333,-14.246449859112715,0.8531772009949845,13.622855593593288,10.633857583741182,2.9383776325283266,0.8714084897408637,5.283115129411151,6.179421868221555
tchp,atlantic,20,-80,"lat[20,40) lon[-80,-60)",290,48,17.586163805267653,12.563800422805821,2.0283695212527766,0.7585372232639154,17.774581192760824,12.717631993229721,0.513441312941977,0.755881636509735,-0.1538315704239004,-0.18841738749317116
tchp,atlantic,0,-40,"lat[0,20) lon[-40,-20)",240,56,14.720138430876643,11.706330843410722,-9.943686548444253,0.8664973478346358,10.256791637869958,7.844905764387193,3.031817425715305,0.887118119835211,3.8614250790235287,4.463346793006686
tchp,atlantic,20,-60,"lat[20,40) lon[-60,-40)",222,42,9.797469865771905,7.507715840417732,-1.406861335276177,0.861188791927697,8.655322706083345,6.468405666590417,-1.3441387052660476,0.8864318014743859,1.0393101738273147,1.1421471596885606
tchp,atlantic,20,0,"lat[20,40) lon[0,20)",210,39,6.288358164457092,4.514517463564698,1.1174746613006385,0.7071307338106949,6.336915507715002,5.047909133334826,-2.99802789184871,0.6369065965081593,-0.5333916697701273,-0.048557343257909835
tchp,atlantic,0,-100,"lat[0,20) lon[-100,-80)",193,55,22.810145045683182,14.03831568408399,-4.574322642264403,0.9260994151259239,18.985914227228978,12.595311460778413,3.278601213075522,0.937108959041811,1.4430042233055769,3.824230818454204
tchp,atlantic,0,-80,"lat[0,20) lon[-80,-60)",126,49,22.210777910868668,17.517585824874136,-12.354042921626585,0.901925895333423,19.064442244976753,14.694526477887928,4.377584258836209,0.8978368142223456,2.8230593469862075,3.1463356658919146
tchp,atlantic,-20,-40,"lat[-20,0) lon[-40,-20)",117,47,14.078471879725445,11.342548974525613,-10.851531948485922,0.8746241500625073,9.216841973403833,7.150876877700293,1.6250915459150148,0.8719608668451969,4.19167209682532,4.861629906321612
tchp,atlantic,0,-20,"lat[0,20) lon[-20,0)",109,47,12.33576605764133,10.104380705863832,-8.40479041715726,0.7812178890872843,9.016289158037297,7.222672693359618,1.2335375160754578,0.7865568172279156,2.8817080125042143,3.319476899604032
tchp,atlantic,40,0,"lat[40,60) lon[0,20)",78,26,5.34068614653701,3.7838435194783973,2.1366278101348777,0.49989480481188087,4.107562663168572,3.2071634285582062,-0.8084376465703379,0.38404182104172524,0.576680090920191,1.2331234833684377
tchp,atlantic,-20,-20,"lat[-20,0) lon[-20,0)",46,18,12.445147526357703,9.580659937402348,-8.620083314887529,0.8232126900058481,8.686030313156524,6.202031231580333,-2.600343738879518,0.864671732359804,3.378628705822015,3.759117213201179
tchp,atlantic,20,-40,"lat[20,40) lon[-40,-20)",38,25,7.682052625222435,5.519374951409156,-4.223758421575921,0.7780046686913313,5.06983415902001,3.859704658668805,-1.4708750955097525,0.8880362479076233,1.6596702927403508,2.6122184662024255
tchp,atlantic,-40,-40,"lat[-40,-20) lon[-40,-20)",26,10,6.156867287784741,5.089542986627906,-1.7326798847127587,0.9260950608436437,5.791933646072555,4.675455730075384,-0.05430535009665512,0.9460349563346732,0.41408725655252265,0.36493364171218623
tchp,atlantic,-20,-100,"lat[-20,0) lon[-100,-80)",24,8,3.694137246122968,2.742572312673771,0.06393067625857046,0.6709335685828981,4.623425204957506,4.186497653795404,2.8892913618455,0.6991404749959289,-1.4439253411216328,-0.9292879588345384
tchp,atlantic,-20,0,"lat[-20,0) lon[0,20)",21,12,8.51291613599633,6.581427925300434,2.163177653733312,0.721567983596866,10.53605166159423,8.675842188304339,6.287807298853843,0.6904626081458969,-2.0944142630039044,-2.023135525597901
tchp,atlantic,-20,-60,"lat[-20,0) lon[-60,-40)",10,9,29.46369195119382,27.401094577035554,-27.401094577035554,0.21537240238410033,16.683011150874368,12.91233296046544,-10.816377970895417,0.023399229279148892,14.488761616570114,12.780680800319452
tchp,atlantic,40,-60,"lat[40,60) lon[-60,-40)",5,4,5.705595496767701,4.701901587441839,-4.4881563360693,0.7019148302233397,4.777606887029624,4.25155149341407,-2.702181618929103,0.5836073550346191,0.45035009402776893,0.927988609738077
tchp,atlantic,0,0,"lat[0,20) lon[0,20)",4,3,2.9153408996097485,2.3791991651670177,-2.3791991651670177,0.9973924114239672,5.448309774718281,4.589149218736486,4.589149218736486,0.98493697083696,-2.209950053569468,-2.532968875108532
tchp,atlantic,-40,-20,"lat[-40,-20) lon[-20,0)",3,3,2.6821740139041057,2.293594226213292,1.9955930325781974,0.9829761634333508,4.416098332183645,4.176584562996593,4.176584562996593,0.9950634710622172,-1.8829903367833016,-1.7339243182795392
tchp,atlantic,-40,-60,"lat[-40,-20) lon[-60,-40)",1,1,6.725544777161915,6.725544777161915,-6.725544777161915,,1.8297503855298345,1.8297503855298345,-1.8297503855298345,,4.89579439163208,4.89579439163208
tchp,atlantic,-20,-80,"lat[-20,0) lon[-80,-60)",1,1,0.1912807441485933,0.1912807441485933,0.1912807441485933,,3.224811694694858,3.224811694694858,3.224811694694858,,-3.0335309505462646,-3.0335309505462646
tchp,atlantic,20,-20,"lat[20,40) lon[-20,0)",1,1,7.809336856591582,7.809336856591582,-7.809336856591582,,12.110855296838164,12.110855296838164,-12.110855296838164,,-4.301518440246582,-4.301518440246582
tchp,indian,0,120,"lat[0,20) lon[120,140)",482,57,38.555918030502575,31.277086264955297,-13.72502830202398,0.5998444276079719,29.729640819577554,22.521826585889954,1.7684341434647854,0.7326225179448855,8.755259679065343,8.82627721092502
tchp,indian,20,120,"lat[20,40) lon[120,140)",440,47,23.163400338252846,18.2637984182911,9.51599663437832,0.7532226903953605,20.221315655358207,15.618362904790754,-1.357975102763994,0.761904741984006,2.6454355135003453,2.942084682894638
tchp,indian,0,60,"lat[0,20) lon[60,80)",270,57,24.46698844011981,20.151476197784614,-18.004041494240465,0.8635239208636578,16.29955142334128,12.939028139463366,-2.363561978913119,0.8771932000013496,7.2124480583212485,8.167437016778528
tchp,indian,0,80,"lat[0,20) lon[80,100)",233,53,29.511098767397353,25.916899433308625,-24.17258687540274,0.7877155058886782,18.68338075277371,14.519700272996106,-3.842927160683485,0.7564085603189791,11.39719916031252,10.827718014623642
tchp,indian,-20,60,"lat[-20,0) lon[60,80)",217,57,17.227887096340332,13.61456597108557,-8.983494509538753,0.8795318275742288,14.551644708393155,11.494012169462728,2.107406326776271,0.8860432100022944,2.120553801622842,2.676242387947177
tchp,indian,20,140,"lat[20,40) lon[140,160)",184,43,17.19548583129446,13.059023110324137,8.793715686884694,0.6082198046448016,12.78093116964685,9.66533994226543,-0.46235784339278796,0.6598613115162106,3.3936831680587076,4.414554661647609
tchp,indian,-20,80,"lat[-20,0) lon[80,100)",183,57,22.648933445784866,18.819264436502902,-18.02145913182209,0.9475756566116231,14.32498884814183,10.987440831830924,-4.365393167514147,0.9470002262466806,7.831823604671978,8.323944597643036
tchp,indian,20,20,"lat[20,40) lon[20,40)",155,36,8.057852023041118,5.698965606174526,3.3858699251250757,0.7720394719783641,7.244506673707062,6.01997582341292,-2.651834644264668,0.7533336594223093,-0.32101021723839374,0.8133453493340559
tchp,indian,0,140,"lat[0,20) lon[140,160)",114,45,41.430114433563,36.42467300141991,-33.00279916949635,0.7219320411234739,24.411306114565264,19.506060555228945,-10.493560573471088,0.79428007088538,16.918612446190966,17.018808318997735
tchp,indian,-20,40,"lat[-20,0) lon[40,60)",87,34,15.602592675115318,12.269749620257592,-5.288133310306174,0.8319791519170366,14.03244575512693,10.58962603467487,4.430406153756484,0.8567678574363495,1.680123585582722,1.570146919988387
tchp,indian,20,60,"lat[20,40) lon[60,80)",51,27,9.417442911950396,8.06039684508421,0.33476732791908786,0.771467551795129,8.11273207109555,7.096115615276246,-3.3512032872199597,0.8650466768550121,0.9642812298079635,1.3047108408548453
