bin_center,raw_mae,corrected_mae,rows,target,feature
-0.01598375476896763,8.752067775937684,7.476133239009275,6068,tchp,model_ssh_m
0.14218241721391678,12.25395476741063,8.752567233419095,6066,tchp,model_ssh_m
0.28195716440677643,10.305513636585355,8.883328718848736,6066,tchp,model_ssh_m
0.37686505913734436,12.860433949932203,11.003554270053563,6067,tchp,model_ssh_m
0.48799656331539154,16.41047958620207,12.216918604477527,6066,tchp,model_ssh_m
0.5770471692085266,18.195047012901266,11.654288099099452,6067,tchp,model_ssh_m
0.6594898998737335,21.31965227158882,12.150816189571977,6066,tchp,model_ssh_m
0.742200493812561,24.301106032172463,13.713079991309785,6067,tchp,model_ssh_m
0.8591121137142181,20.62371359458107,12.92657649298661,6066,tchp,model_ssh_m
1.094878077507019,21.122613560213402,18.94412770845486,6067,tchp,model_ssh_m
0.3970794677734375,7.304927460609668,5.55510865108503,6067,tchp,model_temp_excess_26c
0.8945884704589844,9.077563677399699,7.264730250149641,6067,tchp,model_temp_excess_26c
1.3509349822998047,11.198888302673502,8.60724441890643,6067,tchp,model_temp_excess_26c
1.7794837951660156,12.972130110200643,9.740538691354258,6066,tchp,model_temp_excess_26c
2.1902122497558594,14.742465648980717,10.928247747188651,6066,tchp,model_temp_excess_26c
2.564687728881836,16.80129342688507,11.874208980754448,6067,tchp,model_temp_excess_26c
2.947028160095215,19.13441807753477,13.15517749916326,6066,tchp,model_temp_excess_26c
3.3664512634277344,21.15668498040346,14.6892443371922,6067,tchp,model_temp_excess_26c
3.8299083709716797,24.520368083712917,16.160542876223936,6067,tchp,model_temp_excess_26c
4.488480567932129,29.236489239133665,19.747355376952665,6066,tchp,model_temp_excess_26c
1.2855377197265625,6.652087702799887,5.114797153676644,6067,tchp,d26_minus_mlt_m
7.44818115234375,8.254694452919821,7.147066457410432,6068,tchp,d26_minus_mlt_m
13.074862957000732,10.470189156836351,8.605934106463105,6066,tchp,d26_minus_mlt_m
19.489137649536133,12.15115273626209,9.926531238299175,6066,tchp,d26_minus_mlt_m
26.839898109436035,14.480764244931077,11.386453026662567,6066,tchp,d26_minus_mlt_m
34.5623779296875,16.463822215020063,12.17365842129379,6067,tchp,d26_minus_mlt_m
43.80245018005371,18.692201665970334,13.076948850355139,6066,tchp,d26_minus_mlt_m
55.5153751373291,21.877618544143672,14.309903312856985,6068,tchp,d26_minus_mlt_m
72.62469482421875,25.907703659259994,16.19650132473162,6065,tchp,d26_minus_mlt_m
101.90719604492188,31.195224050694527,19.784664370348846,6067,tchp,d26_minus_mlt_m
