target,scope,subset,model,rows,rmse,mae,bias,corr,slope,macro_region,named_box_display,basin,patch_label
tchp,global,all,raw_rtofs,8366,22.644860856768304,16.26391882696187,-8.969076103330949,0.91498398971795,0.7615163633528362,,,,
tchp,global,all,global_pruned,8366,16.384679445384293,11.638847240302487,-0.12516814894462963,0.9460271592118956,0.9113464605022688,,,,
tchp,presentation_global,all,raw RTOFS,8366,22.644860856768304,16.26391882696187,-8.969076103330949,0.91498398971795,0.7615163633528362,,,,
tchp,presentation_global,all,corrected (global_pruned),8366,16.384679445384293,11.638847240302487,-0.12516814894462963,0.9460271592118956,0.9113464605022688,,,,
tchp,region,atlantic,raw_rtofs,2508,16.851739643518155,11.725990072749289,-5.0980462970576905,0.9004626865756609,0.7895402442460346,,,,
tchp,region,atlantic,global_pruned,2508,14.327457038598176,9.869282096438745,0.5081845968446883,0.9216329089658535,0.8616646700920282,,,,
tchp,region,pacific,raw_rtofs,3200,23.21807745960421,16.75283329164185,-12.641274464429824,0.9504566044632548,0.7684232446554571,,,,
tchp,region,pacific,global_pruned,3200,14.93389549247362,10.912494407794856,0.24212076209927816,0.9650713411282318,0.9355876256074602,,,,
tchp,region,indian,raw_rtofs,2658,26.40143421020442,19.957146452465718,-8.200644199123623,0.8541144253982286,0.7219595512702707,,,,
tchp,region,indian,global_pruned,2658,19.564647215156683,14.18301520299424,-1.1649624310289473,0.9159244648377358,0.8872242276704967,,,,
tchp,region,high_latitude,raw_rtofs,0,,,,,,,,,
tchp,region,high_latitude,global_pruned,0,,,,,,,,,
tchp,top_patch,"lat[20,40) lon[-100,-80)",raw_rtofs,423,21.174187223834554,14.87449603443482,-2.4187619368718583,0.8749929892052883,0.754268841403423,atlantic,,,
tchp,top_patch,"lat[20,40) lon[-100,-80)",global_pruned,423,19.847680362726457,14.400174402924826,-2.324217520168838,0.8911044711094696,0.7976147820379696,atlantic,,,
tchp,top_patch,"lat[0,20) lon[160,180)",raw_rtofs,374,32.63626586048716,27.74826910702996,-26.11192652452069,0.8263145046775413,0.7228415712076875,pacific,,,
tchp,top_patch,"lat[0,20) lon[160,180)",global_pruned,374,19.03256852834061,14.774512608737838,-0.9444468527835996,0.843031154278127,0.8028880776236742,pacific,,,
tchp,top_patch,"lat[0,20) lon[120,140)",raw_rtofs,482,38.555918030502575,31.277086264955297,-13.72502830202398,0.5998444276079719,0.5539155205865283,indian,,,
tchp,top_patch,"lat[0,20) lon[120,140)",global_pruned,482,29.729640819577554,22.521826585889954,1.7684341434647854,0.7326225179448855,0.6870470902223101,indian,,,
tchp,named_box,gulf_of_mexico,raw_rtofs,423,21.174187223834554,14.87449603443482,-2.4187619368718583,0.8749929892052883,0.754268841403423,,Gulf of Mexico & NW Caribbean,Atlantic,"lat[20,40) lon[-100,-80)"
tchp,named_box,gulf_of_mexico,global_pruned,423,19.847680362726457,14.400174402924826,-2.324217520168838,0.8911044711094696,0.7976147820379696,,Gulf of Mexico & NW Caribbean,Atlantic,"lat[20,40) lon[-100,-80)"
tchp,named_box,atlantic_mdr,raw_rtofs,320,19.802277461814842,15.916972713152333,-14.246449859112715,0.8531772009949845,0.7454016150913946,,Atlantic hurricane MDR / E Caribbean,Atlantic,"lat[0,20) lon[-60,-40)"
tchp,named_box,atlantic_mdr,global_pruned,320,13.622855593593288,10.633857583741182,2.9383776325283266,0.8714084897408637,0.8634012515842376,,Atlantic hurricane MDR / E Caribbean,Atlantic,"lat[0,20) lon[-60,-40)"
tchp,named_box,arabian_sea,raw_rtofs,270,24.46698844011981,20.151476197784614,-18.004041494240465,0.8635239208636578,0.8015914571865649,,Arabian Sea,Indian,"lat[0,20) lon[60,80)"
tchp,named_box,arabian_sea,global_pruned,270,16.29955142334128,12.939028139463366,-2.363561978913119,0.8771932000013496,0.8748268858469772,,Arabian Sea,Indian,"lat[0,20) lon[60,80)"
tchp,named_box,bay_of_bengal,raw_rtofs,233,29.511098767397353,25.916899433308625,-24.17258687540274,0.7877155058886782,0.7064181664665133,,Bay of Bengal,Indian,"lat[0,20) lon[80,100)"
tchp,named_box,bay_of_bengal,global_pruned,233,18.68338075277371,14.519700272996106,-3.842927160683485,0.7564085603189791,0.7003290772642418,,Bay of Bengal,Indian,"lat[0,20) lon[80,100)"
tchp,named_box,philippine_sea,raw_rtofs,482,38.555918030502575,31.277086264955297,-13.72502830202398,0.5998444276079719,0.5539155205865283,,Philippine Sea / W Pacific warm pool,West Pacific,"lat[0,20) lon[120,140)"
tchp,named_box,philippine_sea,global_pruned,482,29.729640819577554,22.521826585889954,1.7684341434647854,0.7326225179448855,0.6870470902223101,,Philippine Sea / W Pacific warm pool,West Pacific,"lat[0,20) lon[120,140)"
tchp,named_box,coral_sea,raw_rtofs,126,34.97187373066305,26.71118792966318,-21.443580162436565,0.9433118270921051,0.733936967730836,,Coral Sea,South Pacific,"lat[-20,0) lon[140,160)"
tchp,named_box,coral_sea,global_pruned,126,24.13204353324884,18.948849307862904,-1.5337453941497647,0.9537231803438152,0.7964830002910829,,Coral Sea,South Pacific,"lat[-20,0) lon[140,160)"
