bin_center,raw_mae,corrected_mae,rows,target,feature
2.803858757019043,15.337388248131747,10.551618260323377,837,d26,model_mixed_layer_thickness_m
8.479825973510742,11.69712570232369,9.121387199723372,837,d26,model_mixed_layer_thickness_m
14.017055988311768,12.177755099220443,9.777538361170835,836,d26,model_mixed_layer_thickness_m
18.95252227783203,11.031440585737709,9.469205907343209,837,d26,model_mixed_layer_thickness_m
23.576638221740723,13.952275853980975,10.836585134842421,836,d26,model_mixed_layer_thickness_m
28.09918975830078,13.925732331119745,10.479211424809048,838,d26,model_mixed_layer_thickness_m
33.6995964050293,15.683062989659108,11.209535940808808,835,d26,model_mixed_layer_thickness_m
40.022193908691406,16.65671833288284,11.337737959232896,837,d26,model_mixed_layer_thickness_m
48.00632858276367,17.830512077572347,12.047551217127017,836,d26,model_mixed_layer_thickness_m
64.08857727050781,17.859546571290014,12.785208150905119,837,d26,model_mixed_layer_thickness_m
1.408193588256836,13.46756701970958,10.396624622742191,837,d26,d26_minus_mlt_m
7.230106353759766,9.407945961900927,8.499878452336484,837,d26,d26_minus_mlt_m
12.279496192932129,11.597485719144059,9.863965205721968,836,d26,d26_minus_mlt_m
19.242271423339844,13.282265321274908,10.282131024722748,837,d26,d26_minus_mlt_m
26.828353881835938,13.568374679032521,10.092787946285114,836,d26,d26_minus_mlt_m
34.828514099121094,14.697256184911126,10.139193458109848,837,d26,d26_minus_mlt_m
43.74083709716797,16.031542676802292,11.357584407294867,837,d26,d26_minus_mlt_m
55.07651901245117,16.950575823354903,12.244447545825892,836,d26,d26_minus_mlt_m
71.40508270263672,18.82556866123188,12.87942220388059,836,d26,d26_minus_mlt_m
98.98367309570312,18.322427438945656,11.8601170761427,837,d26,d26_minus_mlt_m
1.295264720916748,13.21218876671593,10.269667676394619,837,d26,d26_to_sblt_ratio
1.9083046913146973,14.502484885476507,11.386471322638435,837,d26,d26_to_sblt_ratio
2.868378162384033,14.023781993370447,10.68575300731649,836,d26,d26_to_sblt_ratio
4.692290306091309,14.682611773067224,10.7515280894457,837,d26,d26_to_sblt_ratio
8.787019729614258,16.208785091919356,10.993802687101304,836,d26,d26_to_sblt_ratio
15.014788627624512,14.543370451038498,10.332032141182165,837,d26,d26_to_sblt_ratio
25.595964431762695,11.811285695414128,9.637373481990684,836,d26,d26_to_sblt_ratio
41.98763847351074,11.826918609362284,9.86223713459498,838,d26,d26_to_sblt_ratio
68.58567810058594,16.552678757451538,11.57943070595557,835,d26,d26_to_sblt_ratio
103.00231170654297,18.78974729379837,12.117297668428133,837,d26,d26_to_sblt_ratio
