feature,family,units,valid_rows,valid_pct,first_valid_date,last_valid_date,valid_dates,p5,median,p95,in_best_recipe
model_tchp_local_mean_2deg,neighborhood,–,100799,31.2,20240131,20251231,701,4.065422773361206,39.06472396850586,123.18065872192376,
model_tchp_local_std_2deg,neighborhood,–,100799,31.2,20240131,20251231,701,2.917816734313965,10.147695541381836,24.128304290771474,yes
model_tchp_grad_mag_per_100km,neighborhood,per 100 km,92833,28.8,20240131,20251231,701,3.04839768409729,17.355873107910156,65.89935302734375,yes
model_tchp_anom_from_1deg_mean,neighborhood,–,94100,29.2,20240131,20251231,701,-9.3287504196167,-0.14333362877368927,10.610200881958008,yes
model_d26_local_mean_halfdeg,neighborhood,–,97211,30.1,20240131,20251231,701,18.86161518096924,63.12183380126953,120.04984283447266,
model_d26_local_std_halfdeg,neighborhood,–,97211,30.1,20240131,20251231,701,1.8350551128387451,4.690369606018066,14.81660270690918,
model_d26_local_mean_1deg,neighborhood,–,98517,30.5,20240131,20251231,701,20.182141876220705,62.80433654785156,117.9138198852539,
model_d26_local_std_1deg,neighborhood,–,98517,30.5,20240131,20251231,701,2.9330684661865236,7.062892436981201,19.13931236267089,yes
model_d26_local_mean_2deg,neighborhood,–,100799,31.2,20240131,20251231,701,22.105706214904785,62.374114990234375,113.7380233764648,
model_d26_local_std_2deg,neighborhood,–,100799,31.2,20240131,20251231,701,4.466240406036377,10.090149879455566,23.06278915405273,
model_d26_grad_mag_per_100km,neighborhood,per 100 km,92833,28.8,20240131,20251231,701,3.839385080337525,18.331140518188477,72.19209136962888,yes
model_d26_anom_from_1deg_mean,neighborhood,–,94100,29.2,20240131,20251231,701,-10.264132976531982,0.10297393798828125,11.293869018554688,yes
model_sst_local_mean_halfdeg,neighborhood,–,322397,99.9,20240131,20251231,701,-0.8582240223884582,20.53031349182129,29.803314208984375,
model_sst_local_std_halfdeg,neighborhood,–,322397,99.9,20240131,20251231,701,0.04433137997984886,0.1883312165737152,0.7284906864166262,
model_sst_local_mean_1deg,neighborhood,–,322587,100.0,20240131,20251231,701,-0.8472997069358824,20.51066017150879,29.79215183258057,
model_sst_local_std_1deg,neighborhood,–,322587,100.0,20240131,20251231,701,0.07740308344364166,0.3040550649166107,1.0360095500946047,yes
