season,rows,years,nn_km_p50,nn_km_p75,nn_km_p90,nn_km_p95,resolution_deg,grid_cells_total,grid_cells_occupied,occupied_fraction,profiles_per_occupied_cell_mean,profiles_per_occupied_cell_p50,profiles_per_occupied_cell_p75,profiles_per_occupied_cell_p90,profiles_per_occupied_cell_p95,profiles_per_occupied_cell_max,fraction_grid_within_100km
winter_jfm,184692,"2020,2021,2022,2023,2024",9.050664363368583,18.919721181420268,29.77110361949006,37.168763195771255,1.0,64800,26520,0.40925925925925927,6.9642533936651585,5.0,9.0,14.0,19.0,264,0.515354938271605
winter_jfm,184692,"2020,2021,2022,2023,2024",9.050664363368583,18.919721181420268,29.77110361949006,37.168763195771255,0.5,259200,64568,0.24910493827160493,2.860426217321274,2.0,3.0,6.0,8.0,189,0.514988425925926
winter_jfm,184692,"2020,2021,2022,2023,2024",9.050664363368583,18.919721181420268,29.77110361949006,37.168763195771255,0.25,1036800,108448,0.10459876543209877,1.7030466214222484,1.0,2.0,3.0,4.0,108,0.5147019675925926
winter_jfm,184692,"2020,2021,2022,2023,2024",9.050664363368583,18.919721181420268,29.77110361949006,37.168763195771255,0.125,4147200,137660,0.033193479938271604,1.3416533488304518,1.0,1.0,2.0,2.0,88,0.5146202256944444
summer_jas,181604,"2020,2021,2022,2023,2024",8.933474730782972,18.799648129342962,29.842383192471456,37.53340738170146,1.0,64800,26324,0.4062345679012346,6.898799574532746,5.0,9.0,14.0,18.0,274,0.520354938271605
summer_jas,181604,"2020,2021,2022,2023,2024",8.933474730782972,18.799648129342962,29.842383192471456,37.53340738170146,0.5,259200,63641,0.24552854938271604,2.8535692399553745,2.0,3.0,6.0,8.0,274,0.5193942901234568
summer_jas,181604,"2020,2021,2022,2023,2024",8.933474730782972,18.799648129342962,29.842383192471456,37.53340738170146,0.25,1036800,106826,0.10303433641975308,1.6999981277966039,1.0,2.0,3.0,4.0,184,0.5194965277777778
summer_jas,181604,"2020,2021,2022,2023,2024",8.933474730782972,18.799648129342962,29.842383192471456,37.53340738170146,0.125,4147200,135303,0.03262514467592593,1.3422023162827137,1.0,1.0,2.0,2.0,82,0.5194646990740741
